,tweets,sentiment,predict_sentiment
1209,"['tinjau', 'vaksin', 'booster', 'ajak', 'masyarakat', 'laksana', 'vaksin', 'laksana', 'vaksin', 'jawatimur']",1.0,1.0
3116,"['hm', 'saran', 'tunggu', 'fit', 'banget', 'habis', 'vaksin', 'booster', 'ngedrop']",1.0,1.0
3206,"['covid', 'jakarta', 'rangkak', 'heru', 'budi', 'dinkes', 'tingkat', 'vaksin', 'booster']",1.0,1.0
3082,"['warga', 'daerahkhususibukota', 'jakarta', 'vaksin', 'booster', 'daftar', 'vaksin', 'booster', 'jakarta', 'lengkap', 'syarat', 'ayo', 'buru', 'cek']",1.0,1.0
3154,"['cari', 'vaksin', 'booster', 'susahh', 'banget']",-1.0,-1.0
5319,"['permisi', 'stasiun', 'malang', 'vaksin', 'booster']",-1.0,-1.0
2153,"['huwaaaaa', 'seru', 'banget', 'gigs', 'vaksin', 'booster', 'tapi']",1.0,1.0
4969,"['animo', 'vaksin', 'booster', 'ingat', 'lindung', 'varian']",1.0,1.0
4257,"['pagi', 'izin', 'vaksin', 'booster', 'soekarno', 'hatta', 'terima', 'kasih']",1.0,1.0
5388,"['informasi', 'fasilitas', 'vaksin', 'booster', 'terimakasih', 'axel']",1.0,1.0
879,"['polresta', 'sidoarjo', 'masif', 'vaksin', 'booster', 'jelang', 'liburnataru']",1.0,1.0
3077,"['coba', 'tugas', 'vaksin', 'takut', 'lupaa', 'data', 'mama', 'data', 'masuk', 'sertifikat', 'vaksin', 'mama', 'muncul', 'mucul', 'tempat', 'vaksin', 'booster']",-1.0,-1.0
1272,"['syarat', 'filipina', 'desember', 'bukti', 'vaksin', 'booster']",-1.0,-1.0
5915,"['booking', 'acara', 'seminar', 'senayan', 'city', 'sedia', 'sisa', 'kouta', 'oktober', 'jam', 'absen', 'selesai', 'sore', 'sore', 'konser', 'musik', 'nonton', 'tidakapa-apa', 'pulang', 'senayan', 'city', 'wajib', 'vaksin', 'booster', 'cont']",-1.0,1.0
3918,"['informasi', 'vaksin', 'booster', 'stasiun', 'jakarta']",1.0,1.0
5557,"['baca', 'tidakadauang', 'pcr', 'sertifikat', 'vaksin', 'booster', 'pcr', 'tertawa']",1.0,1.0
3816,"['habis', 'kalteng', 'ribu', 'vaksin', 'booster', 'sedia', 'daerah', 'terima', 'jatah']",1.0,1.0
586,"['pskanit', 'provost', 'tebing', 'kepolisianresor', 'lawang', 'kepolisiandaerah', 'sumsel', 'nasehat', 'nakes', 'rsud', 'lawang', 'bantu', 'tebing', 'vaksin', 'booster', 'masyarakat']",1.0,1.0
5439,"['kepolisianresor', 'sedia', 'vaksin', 'booster']",1.0,1.0
2450,"['laksana', 'vaksin', 'booster', 'masyarakat', 'indonesia', 'dalam', 'kelompok', 'lanjutusia', 'upaya', 'mitigasi', 'langkah', 'lindung', 'tingkat', 'muncul', 'subvarian', 'waspada', 'stay', 'healthy', 'biotizen']",1.0,1.0
2794,"['tae', 'maju', 'vaksin', 'booster', 'berani', 'bnw']",-1.0,1.0
2623,"['covid', 'surabaya', 'positif', 'covid', 'pemerintahkota', 'surabaya', 'gencar', 'vaksin', 'booster']",1.0,1.0
3315,"['vaksin', 'booster', 'males']",-1.0,-1.0
3622,"['masyarakat', 'lanjut', 'vaksin', 'booster', 'sehat', 'vaksinasi', 'cegah', 'naik', 'akibat', 'covid', 'varian', 'baru']",1.0,1.0
1433,"['vaksin', 'booster', 'anggap', 'tahan', 'kuasa', 'tubuh', 'cegah', 'tingkat', 'marah', 'infeksi', 'covid', 'yukkk', 'lengkap', 'vaksinasi', 'booster', 'mu', 'hindar', 'tular', 'virus', 'varian']",-1.0,1.0
4951,"['selamat', 'sore', 'izin', 'sertifikat', 'vaksin', 'booster', 'muncul', 'peduli', 'lindung', 'vaksin', 'dosis', 'tiga', 'booster', 'kartu', 'vaksinasi', 'dosis', 'tiga', 'boleh', 'besok', 'berangkat']",1.0,1.0
5637,"['syarat', 'mall', 'vaksin', 'booster', 'scan', 'apk', 'pedulilindungi', 'sama', 'masyarakat', 'cegah', 'kendali', 'pandemi', 'taat', 'prokes', 'segera', 'akses', 'layan', 'vaksinasi', 'covid']",1.0,1.0
8,"['malam', 'informasi', 'vaksin', 'booster', 'available', 'terimakasih']",1.0,1.0
3954,"['selamat', 'sore', 'vaksin', 'booster', 'plaza', 'bintaro', 'claim', 'sertifikat', 'booster', 'hubung', 'call', 'center', 'suruh', 'konfirmasi', 'data', 'ulang', 'konfirmasi', 'vaksin', 'polisi']",1.0,1.0
1328,"['kapolres', 'magetan', 'forkopimda', 'magetan', 'tinjau', 'laksana', 'giat', 'gebyar', 'vaksin', 'booster', 'covid', 'magetan', 'magetan', 'sehat', 'tangguh', 'pendopo', 'surya', 'graha', 'magetan']",1.0,1.0
3834,"['wdym', 'tembak', 'vaksin', 'booster', 'maksud', 'vaksin', 'data', 'beneran', 'vaksin', 'gila']",1.0,-1.0
538,"['surabaya', 'gelar', 'vaksin', 'booster', 'cek', 'jadwal', 'lokasi']",-1.0,1.0
5048,"['daerah', 'stok', 'vaksin', 'kosong', 'untung', 'vaksin', 'booster', 'langka']",-1.0,-1.0
37,"['naek', 'pesawat', 'danlainlain', 'wajib', 'vaksinbooster', 'gess', 'kasih', 'informasi', 'baru', 'nyaa']",-1.0,-1.0
3487,"['ragu', 'vaksin', 'booster']",-1.0,-1.0
230,"['vaksin', 'booster', 'terap', 'prokes', 'kunci', 'pisah', 'muncul', 'virus', 'covid', 'varian', 'omicron']",1.0,1.0
2292,"['syahril', 'vaksin', 'booster', 'dosis', 'prioritas', 'tenaga', 'sehat', 'lanjutusia']",1.0,1.0
1618,"['pandemi', 'kaya', 'vaksin', 'booster', 'turut', 'banget', 'langkah', 'cegah', 'cuat', 'covid', 'ayo', 'vaksin']",1.0,1.0
506,"['jelang', 'natal', 'larang', 'mudik', 'vaksin', 'booster', 'periksa', 'tugas', 'periksa', 'tiket', 'tumpang', 'tumpang', 'transportasi']",-1.0,-1.0
2908,"['teu', 'nanaonan', 'penuh', 'butuh', 'vaksin', 'booster', 'warga', 'warga', 'bosen', 'batas', 'aktifitasnya']",-1.0,-1.0
2346,"['informasi', 'lan', 'vaksin', 'booster', 'ready', 'pmi', 'kosong', 'suwun']",-1.0,-1.0
2902,"['demam', 'pas', 'selesai', 'vaksin', 'booster', 'pingsan', 'demam', 'jari', 'tangan', 'digerakin']",-1.0,1.0
5196,"['stasiun', 'kircon', 'sedia', 'vaksin', 'booster']",1.0,1.0
373,"['efek', 'vaksin', 'booster', 'anjing', 'meriang', 'mandi']",-1.0,-1.0
2722,"['stasiun', 'layan', 'vaksin', 'booster', 'tempat']",-1.0,1.0
426,"['peduli', 'lindung', 'input', 'data', 'sertifikat', 'vaksin', 'ngasal', 'banget', 'vaksin', 'sertifikat', 'singkron', 'vaksin', 'booster', 'sertifikat']",1.0,1.0
2522,"['vaksin', 'booster', 'berangkat', 'cianjur']",-1.0,-1.0
33,"['uaf', 'informasi', 'vaksin', 'booster', 'kbt']",1.0,1.0
5106,"['admin', 'vaksin', 'booster', 'stasiun', 'sedia']",1.0,1.0
44,"['selamat', 'sore', 'syarat', 'rata', 'anak', 'umur', 'vaksin', 'booster', 'terimakasih']",1.0,1.0
3237,"['informasi', 'jadwal', 'lokasi', 'vaksin', 'booster', 'kota', 'november', 'catat']",1.0,1.0
4381,"['informasi', 'vaksin', 'booster', 'daerah', 'pwk']",1.0,1.0
4252,"['maju', 'nahdatululama', 'takut', 'lengkap', 'vaksin', 'booster']",1.0,1.0
1912,"['syarat', 'dukung', 'anies', 'vaksin', 'vaksin', 'booster', 'anies', 'tinggal']",1.0,1.0
5808,"['informasi', 'vaksin', 'booster', 'wilayah', 'surabaya', 'sidoarjo']",1.0,1.0
2373,"['wajib', 'waspada', 'varian', 'xbb', 'terap', 'disiplin', 'prokes', 'terima', 'dosis', 'vaksin', 'booster', 'lengah', 'lalai', 'terap', 'disiplin', 'prokes', 'sobat', 'informasi']",1.0,1.0
5750,"['lock', 'akun', 'maju', 'locals', 'vaksin', 'booster']",-1.0,1.0
5152,"['mimin', 'info', 'moga', 'jakarta', 'vaksin', 'booster', 'vaksin', 'habis', 'dicancel', 'alternatif', 'thank', 'mimin']",1.0,1.0
2627,"['izin', 'suntik', 'vaksin', 'booster', 'lanjutusia']",-1.0,-1.0
1650,"['cgv', 'periksa', 'mall', 'scan', 'peduli', 'lindung', 'tau', 'vaksin', 'booster', 'ijo']",-1.0,1.0
325,"['terimakasih', 'dis', 'vaksin', 'booster', 'minum', 'air', 'putih', 'lemes']",-1.0,-1.0
2821,"['vaksin', 'booster', 'ampuh', 'cegah', 'ledak', 'varian', 'xbb']",-1.0,1.0
1773,"['informasi', 'jadwal', 'vaksin', 'booster', 'kota', 'desember', 'catat', 'syarat']",1.0,1.0
2002,"['informasi', 'vaksin', 'booster', 'semarang']",1.0,1.0
3706,"['vaksin', 'booster', 'tensi', 'busuk', 'banget', 'pola', 'hidup', 'jarang', 'olahraga', 'kaya', 'begadang', 'tdr', 'cuma', 'jam', 'kayak', 'hipertensi', 'lengkap']",-1.0,1.0
4264,"['informasi', 'vaksin', 'booster', 'bekas', 'kota', 'juseyoo']",-1.0,-1.0
2516,"['jalan', 'vaksin', 'booster', 'kunjung', 'lokasi', 'gempa', 'cianjur']",1.0,1.0
63,"['syarat', 'jalan', 'banget', 'vaksin', 'booster']",1.0,1.0
4182,"['lelah', 'jalan', 'prokes', 'laku', 'vaksin', 'booster', 'cegah', 'sebar', 'virus', 'covid', 'prokes', 'vaksin', 'bukti', 'antisipasi', 'sebar', 'virus', 'sekitar', 'satu', 'bangun', 'bangsa']",1.0,-1.0
2067,"['tumpang', 'vaksin', 'booster', 'informasi', 'lengkap', 'syarat', 'tentu', 'jalan', 'kakak', 'kece', 'via', 'link', 'terimakasih']",1.0,1.0
4776,"['teman', 'butuh', 'sertifikat', 'vaksin', 'booster', 'syarat', 'jadwal', 'vaksin', 'kenal', 'input', 'data', 'tinggal', 'tembus', 'apk']",-1.0,-1.0
5409,"['cek', 'tiket', 'jadwal', 'vaksin', 'booster', 'pedulilindungi']",-1.0,-1.0
1992,"['covid', 'tingkat', 'patuh', 'prokes', 'vaksin', 'booster']",1.0,1.0
3442,"['vaksin', 'booster', 'nyeri', 'banget', 'ajg']",-1.0,-1.0
4215,"['maaf', 'larang', 'wajib', 'vaksin', 'booster', 'vaksin', 'dosis']",-1.0,-1.0
1161,"['ayo', 'lanjutusia', 'booster', 'vaksin', 'booster', 'lanjutusia']",1.0,1.0
5713,"['vaksin', 'booster', 'stgambir', 'sedia']",1.0,1.0
1033,"['konser', 'hidup', 'bytheway', 'umur', 'legal', 'vaksin', 'booster', 'mama', 'sea', 'ketemu', 'bong', 'aamiin']",1.0,1.0
4409,"['sdf', 'informasi', 'vaksin', 'booster', 'kh', 'guis']",1.0,1.0
4440,"['pekalonganjogja', 'kakak', 'joglosemarkerto', 'vaksin', 'booster', 'minim', 'vaksin', 'dosis', 'pakai', 'testes', 'covid', 'jogja']",-1.0,1.0
5501,"['jog', 'informasi', 'vaksin', 'booster', 'magelang', 'tidakapa-apa']",1.0,1.0
2903,"['maju', 'guaa', 'vaksin', 'booster', 'takut', 'mimisan']",1.0,1.0
1509,"['bingung', 'transportasi', 'lokasi', 'kumpulin', 'tips', 'bingung', 'pasti', 'vaksin', 'booster', 'status', 'akun', 'pedulilindungimu', 'warna', 'hijau', 'area', 'bloc', 'space', 'see']",1.0,1.0
3252,"['habis', 'vaksin', 'booster', 'emo']",1.0,1.0
4030,"['informasi', 'vaksin', 'booster']",1.0,1.0
2163,"['menteri', 'bumn', 'dukung', 'penuh', 'proses', 'vaksinasi', 'indovac', 'laksana', 'vaksin', 'booster', 'bukti', 'vaksin', 'karya', 'anak', 'bangsa', 'milik', 'kualitas', 'aman', 'halal']",1.0,1.0
3631,"['teman', 'vaksin', 'booster', 'tertib', 'sana', 'seru', 'dorong', 'dorong', 'hun', 'nyaman', 'bawa', 'eribong', 'angkat', 'tinggiayo', 'momen', 'indah']",1.0,1.0
2873,"['pakai', 'kakak', 'kaligung', 'wajib', 'vaksin', 'booster']",-1.0,-1.0
1532,"['selamat', 'malam', 'putar', 'syarat', 'umur', 'vaksin', 'vaksin', 'booster', 'rencana', 'tanggal', 'kutoarjo', 'kiaracondong', 'bukti', 'pcr', 'vaksin', 'booster']",1.0,1.0
3754,"['vaksin', 'agustus', 'vaksin', 'booster', 'pagi', 'hmmmm', 'aneh']",1.0,1.0
2218,"['keluh', 'demam', 'pysing', 'habis', 'vaksinbooster']",1.0,1.0
4811,"['lupa', 'collateral', 'damage', 'covid', 'simpan', 'misc', 'immune', 'haywired', 'covid', 'vaksin', 'booster', 'collateral', 'damagenya', 'asma', 'kambuh', 'serang', 'ringan', 'brthn', 'kambuh', 'urtikaria', 'heavy', 'breathing']",-1.0,-1.0
4224,"['informasi', 'vaksin', 'booster', 'daerah', 'tangerang']",1.0,1.0
2406,"['covid', 'hari', 'tambah', 'november', 'buka', 'program', 'vaksin', 'booster', 'lanjutusia']",1.0,1.0
1514,"['bulan', 'ribu', 'papar', 'covid', 'jawatimur', 'jawa', 'timur', 'imbau', 'masyarakat', 'vaksin', 'booster', 'terap', 'prokes', 'ketatseperti', 'kena', 'jaga', 'jarak']",-1.0,1.0
4703,"['warga', 'yogyakarta', 'jalan', 'prokes', 'terap', 'prokes', 'vaksin', 'booster', 'kunci', 'pisah', 'cegah', 'sebar', 'covid', 'muncul', 'virus', 'varian', 'omicron']",1.0,1.0
2498,"['guna', 'booster', 'vaksin', 'inavac', 'tuju', 'vaksin', 'booster', 'heterolog', 'dewasa', 'usia', 'dosis', 'sunti', 'mcg', 'ml', 'interval', 'beri', 'sekurangkurangnya', 'terima', 'dosis', 'primer', 'lengkap', 'vaksin', 'coronavac']",1.0,1.0
1173,"['saiki', 'online', 'vaksin', 'booster', 'lek', 'pingin', 'ribet', 'beli', 'nd', 'labuh', 'ribu', 'nyebrang']",1.0,1.0
324,"['efek', 'vaksin', 'booster', 'dosis', 'ngerasa', 'laper', 'banget', 'pusing', 'dikit', 'minumin', 'panadol', 'aman', 'bawa', 'makan', 'heheh']",-1.0,1.0
787,"['izin', 'kesitu', 'wajib', 'vaksin', 'booster', 'vaksin', 'bolh']",-1.0,-1.0
2004,"['joga', 'informasi', 'vaksin', 'booster', 'jogja']",1.0,1.0
2025,"['proses', 'boarding', 'bukti', 'vaksin', 'booster', 'via', 'aplikasi', 'peduli', 'lindung', 'informasi', 'lengkap', 'cek', 'link', 'terimakasih']",1.0,1.0
4370,"['cari', 'vaksin', 'booster', 'susah', 'informasi', 'vaksin', 'booster', 'daerah', 'tangerang']",-1.0,-1.0
1745,"['vaksin', 'booster', 'ayo', 'vaksin', 'covid', 'keliling', 'ttap', 'sehat']",1.0,1.0
2259,"['ayo', 'vaksin', 'booster', 'wujud', 'herd', 'immunity']",1.0,1.0
5087,"['daerah', 'jakarta', 'selatan', 'layan', 'vaksin', 'booster']",1.0,1.0
2585,"['warga', 'cianjur', 'vaksin', 'booster', 'bayar', 'bpjs', 'bantu', 'kayak', 'tunggu', 'kalimat', 'sebentar', 'kaget', 'informasi', 'jt']",1.0,1.0
3607,"['vaksin', 'booster', 'aktif', 'lupa', 'terap', 'protokol', 'sehat', 'putus', 'sebar', 'covid', 'varian', 'omicron', 'mal', 'central', 'park', 'morningg', 'redaksi', 'velvet']",1.0,1.0
2114,"['musni', 'sulit', 'vaksin', 'booster', 'tolak', 'kumis', 'vaksin', 'vaksin', 'booster', 'sebut', 'sulit', 'atur', 'agustus', 'nama', 'peduli', 'alias', 'ignorant']",1.0,1.0
1351,"['cari', 'lokasi', 'vaksin', 'booster', 'lanjutusia', 'sekitar', 'bogor', 'coba', 'dinas', 'sehat', 'kabbogor', 'sedia', 'bawa', 'fotocopy', 'kartutandapenduduk', 'sertifikat', 'vaksin', 'sblmnya', 'tiket', 'vaksin', 'aplikasi', 'peduli', 'lindung']",1.0,1.0
5443,"['oktober', 'vaksin', 'booster', 'juta', 'target', 'vaksinasi', 'juta', 'lord', 'luhut', 'aku', 'booster']",1.0,1.0
2694,"['ayo', 'vaksin', 'booster']",1.0,1.0
2718,"['work', 'cw', 'gagal', 'tahap', 'interview', 'user', 'vaksin', 'booster', 'usernya', 'sedih', 'banget', 'izinin', 'vaksin', 'sakit', 'bawa', 'sedihhhhhhhhhh', 'banget']",-1.0,-1.0
5661,"['informasi', 'vaksin', 'booster', 'besok', 'jog']",1.0,1.0
1186,"['wajib', 'booster', 'pas', 'book', 'tiket', 'deteksi', 'boosterbelum', 'cetak', 'nunjukkin', 'kartu', 'vaksin', 'booster', 'mudah', 'banget', 'jalan', 'jauhdekat', 'buru', 'booster', 'booster']",1.0,1.0
706,"['sepurane', 'wali', 'dalem', 'badhe', 'tangklet', 'menawi', 'vaksin', 'booster', 'area', 'solo', 'raya', 'sampun', 'enten', 'dereng', 'njih', 'dalem', 'posisi', 'wonten', 'ngawi']",-1.0,-1.0
1448,"['kecewa', 'gagal', 'vaksin', 'booster', 'garagara', 'informasi']",-1.0,-1.0
5491,"['dips', 'rsnd', 'layan', 'vaksin', 'booster', 'besok']",1.0,1.0
5876,"['vaksin', 'booster', 'nakes', 'bukti', 'selamat', 'nyawa']",1.0,1.0
1235,"['informasi', 'vaksin', 'booster', 'daerah', 'jakbar']",1.0,1.0
811,"['bengkak', 'vaksin', 'booster', 'moga', 'lengan', 'membaikk', 'bytheway', 'badmood', 'lanjur', 'berangk', 'ihhh', 'sebal', 'bangettttt', 'posisi', 'ituuu', 'nun']",-1.0,1.0
5297,"['kuis', 'manfaat', 'vaksin', 'booster', 'covid', 'kirim', 'whatsapp', 'format', 'kuis', 'pmi', 'nama', 'domisili', 'lengkap', 'gtgt']",1.0,1.0
5217,"['juta', 'masyarakat', 'aceh', 'vaksin', 'booster']",1.0,1.0
4643,"['besok', 'tanggung', 'cari', 'vaksin', 'booster', 'hmmmm', 'semarang', 'gaono']",-1.0,-1.0
1393,"['takut', 'dua', 'vaksin', 'booster', 'maju']",1.0,1.0
565,"['dokter', 'gigi', 'scalling', 'pergi', 'gigi', 'lemas', 'duluan', 'kaya', 'sakit', 'pinggang', 'kaya', 'panas', 'badan', 'jadi', 'cari', 'vaksin', 'booster', 'lengan', 'asa', 'kaya', 'habis', 'suntik', 'lemas', 'mengcapek']",1.0,1.0
297,"['semenjak', 'vaksin', 'booster', 'gampang', 'lelah', 'lemes', 'batuk', 'melulu']",-1.0,-1.0
4309,"['informasi', 'vaksin', 'booster', 'daerah', 'jakarta', 'plish', 'butuh', 'banget']",-1.0,-1.0
2758,"['sobat', 'patuh', 'ketat', 'protokol', 'sehat', 'vaksin', 'booster', 'kena', 'virus', 'ayo', 'bantu', 'putus', 'rantai', 'tular', 'covid', 'bebas', 'indonesia', 'virus', 'covid']",1.0,1.0
2321,"['selamat', 'siang', 'stasiun', 'pasar', 'senen', 'gambir', 'layan', 'vaksin', 'booster', 'kakak', 'vaksin', 'stasiun']",1.0,1.0
1586,"['kapolrestabes', 'medan', 'medan', 'personil', 'medan', 'laksana', 'vaksin', 'booster', 'ruang', 'binmas', 'medan']",-1.0,-1.0
755,"['informasi', 'vaksin', 'booster', 'diri']",1.0,1.0
5283,"['page', 'iv', 'menteri', 'bumn', 'erick', 'thohir', 'terbit', 'eua', 'indovac', 'vaksin', 'primer', 'dewasa', 'kesiap', 'vaksin', 'booster', 'vaksinasi', 'usia', 'tunjuk', 'indovac', 'milik', 'abang', 'mandiri', 'sektor']",-1.0,1.0
3482,"['ajg', 'ajg', 'tiket', 'konser', 'beli', 'lupa', 'vaksin', 'booster']",1.0,1.0
4884,"['vaksin', 'booster', 'schedule', 'melulu']",-1.0,-1.0
240,"['distribusi', 'vaksin', 'booster', 'slanjutnya', 'vendor', 'mixue']",1.0,1.0
2306,"['sunti', 'vaksin', 'booster', 'dosis', 'lanjutusia', 'vaksin', 'suntik', 'vaksin', 'indovac', 'buat', 'biofarma']",1.0,1.0
2895,"['pemerintahprovinsi', 'daerahkhususibukota', 'jakarta', 'cepat', 'vaksin', 'booster', 'covid']",1.0,1.0
2195,"['daftar', 'vaksin', 'booster', 'penuh', 'syarat', 'coret']",1.0,1.0
2862,"['buset', 'teror', 'vaksin', 'booster', 'kaya', 'tagih', 'pinjol']",-1.0,1.0
1374,"['vaksin', 'booster', 'terap', 'protokol', 'sehat', 'kunci', 'pisah', 'muncul', 'virus', 'varian', 'nama', 'omicron']",1.0,1.0
2254,"['laku', 'vaksin', 'booster', 'sasar', 'lanjutusia', 'bagi', 'blt', 'tribun', 'solo']",1.0,1.0
4525,"['budak', 'nnya', 'mane', 'bise', 'vaksin', 'booster']",1.0,1.0
4082,"['permisi', 'vaksin', 'dosis', 'sinovac', 'vaksin', 'kasih', 'astra', 'vaksin', 'booster', 'pakai', 'terima', 'kasih']",1.0,1.0
2323,"['vaksin', 'booster', 'vaksin', 'dosis', 'empat', 'vaksin', 'booster', 'pandemi', 'ayo', 'simak', 'lengkap', 'video', 'aly']",1.0,-1.0
3112,"['vaksin', 'booster', 'datengnya', 'kegasiken', 'muter', 'gasik', 'ramai', 'banget', 'buka', 'tempat']",1.0,1.0
5634,"['cari', 'vaksin', 'booster', 'kosong']",-1.0,-1.0
4521,"['minimal', 'vaksin', 'booster', 'ijazah', 'asli', 'sesuai', 'kriteria', 'silah', 'kirim', 'lamar', 'email', 'store']",1.0,1.0
1883,"['pintar', 'kelas', 'teriak', 'sosmed', 'riset', 'minimal', 'riset', 'independen', 'enggak', 'vaksinbooster', 'pandemi', 'klopun', 'vaksinboostet', 'guna', 'mkir', 'comorbid', 'angkut']",-1.0,-1.0
2611,"['aik', 'vaksin', 'booster', 'dosis', 'sedia', 'masyarakat', 'nakes', 'lanjutusia', 'tunggu', 'regulasi', 'masyarakat']",1.0,1.0
333,"['capai', 'rendah', 'kaji', 'vaksin', 'booster', 'syarat', 'urus', 'adminduk']",1.0,1.0
1543,"['syarat', 'jalan', 'pesawat', 'vaksin', 'booster']",-1.0,-1.0
1073,"['tanggal', 'des', 'vaksin', 'booster', 'surabaya', 'pasar', 'turi']",-1.0,-1.0
4051,"['covid', 'kait', 'vaksin', 'booster', 'iniapakah', 'bijak', 'terbang', 'domestik', 'bijak']",1.0,1.0
4727,"['imissu', 'informasi', 'unud', 'vaksin', 'booster']",1.0,1.0
696,"['vaksin', 'booster', 'mustinya', 'sistem', 'auto', 'reject', 'jadi', 'beli', 'jajan', 'coca', 'cola', 'idmrtalfmrt', 'baca', 'kandung', 'minum', 'tera', 'botol', 'right']",-1.0,-1.0
3107,"['bantu', 'informasi', 'wajib', 'vaksin', 'booster', 'syarat', 'dikarnakan', 'edar', 'pesan']",1.0,1.0
4622,"['vaksin', 'booster', 'informasi', 'vaksin', 'ness']",1.0,1.0
2509,"['informasi', 'vaksin', 'booster', 'kartu', 'vaksin', 'dips']",1.0,1.0
247,"['capai', 'vaksinasi', 'covid', 'belitung', 'terima', 'vaksin', 'booster', 'baca', 'lengkap']",1.0,1.0
2622,"['lanjutusia', 'vaksin', 'booster', 'dosis', 'simak', 'atur']",1.0,1.0
2867,"['menkes', 'budi', 'vaksinasi', 'mayoritas', 'sebab', 'pasien', 'covid', 'kondisi', 'berat', 'kritis', 'rumah', 'sakit', 'pasien', 'tinggal', 'vaksin', 'vaksin', 'lengkap', 'vaksin', 'booster', 'lawan', 'pandemi']",-1.0,-1.0
1188,"['kota', 'wajib', 'vaksin', 'booster', 'dosis', 'larang']",-1.0,-1.0
4104,"['pas', 'ticketing', 'vaksin', 'booster']",1.0,1.0
4617,"['informasi', 'vaksin', 'booster', 'daerah', 'jakarta', 'tangerang', 'plissss', 'gila']",1.0,1.0
3625,"['sertif', 'vaksin', 'booster', 'sertif', 'vaksin', 'turut', 'booster']",-1.0,1.0
2299,"['lokasi', 'vaksin', 'booster', 'lanjutusia', 'tangerang', 'selatan', 'syarat', 'jadwal', 'jenis', 'vaksin', 'berita', 'tangsel']",1.0,1.0
3761,"['pas', 'photo', 'tunjuk', 'vaksin', 'booster', 'peduli', 'lindung', 'kebaya', 'merah', 'ice', 'bsd']",1.0,1.0
1193,"['tongkrong', 'vaksin', 'booster']",1.0,1.0
877,"['lakilaki', 'perempuan', 'usia', 'maks', 'badan', 'lakilaki', 'perempuan', 'vaksin', 'booster', 'utama', 'domisili', 'cikarang', 'warehousematerial', 'apply', 'lakilaki', 'minimal', 'didik', 'smasmk', 'derajat']",1.0,1.0
2245,"['konser', 'postpone', 'vaksin', 'booster', 'ribet', 'berakkkk']",-1.0,-1.0
3832,"['informasi', 'jadwal', 'vaksin', 'booster', 'ketapang', 'cipondoh']",1.0,1.0
751,"['informasi', 'vaksin', 'booster', 'dongg', 'susih', 'cari']",-1.0,-1.0
3433,"['mbak', 'tiket', 'vaksin', 'booster', 'terbit', 'diinput', 'huhu', 'susah', 'banget', 'asuu', 'sertifikat', 'yuhu']",-1.0,-1.0
3450,"['booster', 'prokes', 'kunci', 'pisah', 'potensi', 'naik', 'vaksin', 'booster', 'bareng', 'disiplin', 'protokol', 'sehat', 'vaksin', 'prokes', 'lindung', 'optimal', 'capai']",1.0,1.0
2835,"['mayoritas', 'sebab', 'pasien', 'covid', 'kondisi', 'berat', 'kritis', 'rumah', 'sakit', 'tinggal', 'vaksin', 'lengkap', 'vaksin', 'booster', 'vaksinasi', 'booster', 'kurang', 'risiko', 'parah', 'mati', 'akibat', 'covid']",-1.0,-1.0
315,"['anjuttt', 'kuat', 'bpjs', 'vaksin', 'booster']",1.0,1.0
5586,"['butuh', 'tonton', 'acara', 'ulangtahun', 'mnctv', 'oktober', 'jam', 'absen', 'kelar', 'jam', 'wib', 'studio', 'kebun', 'jeruk', 'wajib', 'vaksin', 'booster', 'baju', 'casual', 'rapih', 'nomor', 'sendal', 'fee', 'korang']",-1.0,-1.0
3555,"['jasa', 'tembak', 'vaksin', 'booster', 'terbit', 'menit', 'kirim', 'data']",-1.0,-1.0
149,"['tumpang', 'umur', 'vaksin', 'booster']",1.0,1.0
2042,"['oke', 'vaksin', 'kebal', 'imun', 'tubuh', 'mnjdi', 'kunci', 'vaksin', 'booster', 'nyata', 'fix', 'kebal', 'covid']",1.0,1.0
4758,"['habis', 'vaksin', 'booster', 'kaya', 'mati']",1.0,1.0
290,"['nunjukin', 'bukti', 'vaksin', 'kai', 'access', 'tulis', 'vaksin', 'booster', 'lupa', 'boarding', 'passnya', 'otomatis']",1.0,-1.0
453,"['efek', 'vaksin', 'booster', 'sinovaccoronavac', 'campur', 'vaksin', 'mrna', 'pfizer', 'baca', 'baca', 'varian', 'omicron', 'kena']",1.0,1.0
2272,"['verifikasi', 'vaksin', 'booster', 'lucu', 'bin', 'nyuntik', 'kredibel', 'tembak', 'vaksin', 'indovac', 'daftar', 'web', 'pfizer', 'pfizer', 'untung']",1.0,1.0
893,"['vaksin', 'buat', 'negeri', 'indovac', 'inavac', 'booster', 'vaksinasi', 'primer', 'sinovac', 'eua', 'iutk', 'vaksinasi', 'anak', 'vaksin', 'booster', 'vaksinasi', 'primer', 'nonsinovac']",-1.0,-1.0
1837,"['dips', 'informasi', 'vaksin', 'booster', 'banget', 'plss']",1.0,1.0
1557,"['ramah', 'solutif', 'vaksin', 'booster', 'derita', 'darah', 'lempar']",1.0,1.0
3185,"['ayo', 'masyarakat', 'indramayu', 'tingkat', 'protokol', 'sehat', 'pakai', 'cuci', 'tangan', 'jaga', 'jarak', 'jauh', 'kerumun', 'batas', 'tingkat', 'cakup', 'vaksinasi', 'covid', 'vaksin', 'vaksin', 'booster', 'indramayu', 'martabat']",1.0,1.0
5149,"['izin', 'vaksin', 'booster', 'sedia']",-1.0,-1.0
